"","ID1","party_member","coal_id","event_factor","SRI_bi_z","index_5m_bi_z","gmdur_index_z","gm_yn_bi","kinship","period","party_size_fem_z","immdyad","ranksumbi_z"
"1","OU","OT","2010-03-08_16:24:00","1",3.06498690802812,3.40240962918326,4.72556004294074,"Y","1","A",-1.5140775731115,"0",-0.732026917905999
"2","WL","OU","2010-03-10_12:32:00","1",2.18292345735231,1.26182785138765,-0.227233255253434,"Y","0","A",-1.84385631396555,"0",-1.9543280082925
"3","WL","TG","2010-03-27_7:12:00","1",2.17395098526098,0.885002732919459,0.44223104159892,"Y","0","A",-2.17363505481959,"0",-1.62471423332357
"4","QT","AL","2010-03-29_7:13:00","1",1.80379823714158,0.567242284419203,-0.19488581612501,"Y","0","A",-0.854520091403397,"0",-0.354120859676215
"5","OU","AL","2010-04-04_15:04:00","1",2.33957834450937,1.57460435825539,0.00267396447682287,"Y","0","A",-0.524741350549348,"0",-1.78794078079106
"6","OU","AL","2010-04-04_15:26:00","1",2.33957834450937,1.57460435825539,0.00267396447682287,"Y","0","A",-0.524741350549348,"0",-1.78794078079106
"7","OU","AL","2010-04-04_16:02:00","1",2.33957834450937,1.57460435825539,0.00267396447682287,"Y","0","A",-0.524741350549348,"0",-1.78794078079106
"8","MU","BU","2010-04-19_15:25:00","1",-0.402380516208455,-0.328827457365387,-0.244844131845214,"N","0","A",0.794373612866849,"0",1.14780419074157
"9","OU","AL","2010-04-28_7:16:00","1",2.33957834450937,1.57460435825539,0.00267396447682287,"Y","0","A",-1.84385631396555,"0",-1.78794078079106
"10","TG","QT","2010-05-06_13:51:00","1",2.05465398573582,0.47270798251687,0.503486698853242,"Y","0","A",0.134816131158751,"0",-0.716018723563336
"11","OU","AL","2010-05-16_18:42:00","1",2.33957834450937,1.57460435825539,0.00267396447682287,"Y","0","A",-0.524741350549348,"0",-1.78794078079106
"12","TG","AL","2010-05-16_18:42:00","1",1.74736408974629,-0.0978362054028941,-0.244844131845214,"N","0","A",-0.524741350549348,"0",-1.45832700582213
"13","WL","AL","2010-05-16_18:42:00","1",1.90862466942776,0.456425730569952,-0.244844131845214,"N","0","A",-0.524741350549348,"0",-1.26281636943645
"14","TG","OU","2010-05-16_18:42:00","1",2.7827830556707,1.22629595436087,-0.137965771531682,"Y","0","A",-0.524741350549348,"0",-2.14983864467818
"15","WL","OU","2010-05-16_18:42:00","1",2.18292345735231,1.26182785138765,-0.227233255253434,"Y","0","A",-0.524741350549348,"0",-1.9543280082925
"16","WL","TG","2010-05-16_18:42:00","1",2.17395098526098,0.885002732919459,0.44223104159892,"Y","0","A",-0.524741350549348,"0",-1.62471423332357
"17","OU","AL","2010-05-16_18:52:00","1",2.33957834450937,1.57460435825539,0.00267396447682287,"Y","0","A",-0.524741350549348,"0",-1.78794078079106
"18","QT","AL","2010-05-16_18:52:00","1",1.80379823714158,0.567242284419203,-0.19488581612501,"Y","0","A",-0.524741350549348,"0",-0.354120859676215
"19","TG","AL","2010-05-16_18:52:00","1",1.74736408974629,-0.0978362054028941,-0.244844131845214,"N","0","A",-0.524741350549348,"0",-1.45832700582213
"20","WL","AL","2010-05-16_18:52:00","1",1.90862466942776,0.456425730569952,-0.244844131845214,"N","0","A",-0.524741350549348,"0",-1.26281636943645
"21","QT","OU","2010-05-16_18:52:00","1",2.09910667781344,0.808736656083089,-0.195334735521726,"Y","0","A",-0.524741350549348,"0",-1.04563249853227
"22","TG","OU","2010-05-16_18:52:00","1",2.7827830556707,1.22629595436087,-0.137965771531682,"Y","0","A",-0.524741350549348,"0",-2.14983864467818
"23","WL","OU","2010-05-16_18:52:00","1",2.18292345735231,1.26182785138765,-0.227233255253434,"Y","0","A",-0.524741350549348,"0",-1.9543280082925
"24","TG","QT","2010-05-16_18:52:00","1",2.05465398573582,0.47270798251687,0.503486698853242,"Y","0","A",-0.524741350549348,"0",-0.716018723563336
"25","WL","QT","2010-05-16_18:52:00","1",4.78935365470712,3.08732080978606,0.89379702614411,"Y","0","A",-0.524741350549348,"0",-0.520508087177655
"26","WL","TG","2010-05-16_18:52:00","1",2.17395098526098,0.885002732919459,0.44223104159892,"Y","0","A",-0.524741350549348,"0",-1.62471423332357
"27","WL","OT","2010-05-18_9:05:00","1",1.76572870227653,0.915756627598795,-0.171381618062362,"Y","0","A",-0.194962609695299,"0",-0.206902506551388
"28","WL","OU","2010-05-27_7:14:00","1",2.18292345735231,1.26182785138765,-0.227233255253434,"Y","0","A",-0.524741350549348,"0",-1.9543280082925
"29","OU","AL","2010-06-09_11:20:00","1",2.33957834450937,1.57460435825539,0.00267396447682287,"Y","0","A",-0.854520091403397,"0",-1.78794078079106
"30","QT","AL","2010-06-09_11:20:00","1",1.80379823714158,0.567242284419203,-0.19488581612501,"Y","0","A",-0.854520091403397,"0",-0.354120859676215
"31","TG","AL","2010-06-09_11:20:00","1",1.74736408974629,-0.0978362054028941,-0.244844131845214,"N","0","A",-0.854520091403397,"0",-1.45832700582213
