"","ID1","ID2","period","partycount_d","coal_count_bi","SRI_bi_z","index_5m_bi_z","gmdur_index_z","gm_yn_bi","ranksumbi_z","immdyad","kinship","total_AB_party"
"1","AL","BL","A",3983,1,0.781861813551595,-0.268772899528297,-0.0899532895319715,"Y",-0.901144268408899,"0","0",249
"2","AL","BL","B",2628,0,0.618684705505791,-0.430270216487057,-0.244844131845214,"N",-1.09552609049674,"0","0",282
"3","AL","BL","C",4688,0,1.07372085925631,-0.325435339807405,-0.244844131845214,"N",-1.29713232409075,"0","0",575
"4","BL","AL","D",520,0,-0.814682093474005,0.388354785778306,-0.244844131845214,"N",-1.25238928543507,"0","0",194
"5","AL","BU","A",2849,0,0.307027130450215,0.63847761048992,-0.244844131845214,"N",0.298710075907226,"0","0",82
"6","CA","AL","B",207,0,-1.150568626553,-0.978983322645183,-0.244844131845214,"N",NA,"1","0",0
"7","CA","AL","C",32,0,-1.49442433114498,-0.978983322645183,-0.244844131845214,"N",NA,"1","0",0
"8","DL","AL","D",4594,1,0.976769918847662,-0.436891511267478,0.228058289985817,"Y",-0.439575971281756,"1","0",734
"9","DL","AL","E",3002,0,0.183855884433795,0.77000740065695,0.941858013877782,"Y",-0.164028531920161,"1","0",455
"10","AL","FS","D",2365,0,1.02682035361294,-0.812150874196028,-0.244844131845214,"N",0.240280497728617,"1","0",265
"11","AL","FS","E",1827,0,-0.534046655730323,-0.128779498817757,-0.244844131845214,"N",0.61417604500991,"1","0",78
"12","AL","GG","C",1217,0,-0.366494758756554,-0.548360606680642,-0.244844131845214,"N",0.379608433919007,"0","0",154
"13","AL","GG","D",1381,0,-0.644015006888624,-0.368339692271894,-0.244844131845214,"N",0.475177676772207,"0","0",181
"14","GG","AL","E",1540,0,-0.280495385447105,-0.674082640996727,-0.244844131845214,"N",0.791399889770602,"0","0",145
"15","AL","GS","A",21,0,-1.53709586218285,-0.978983322645183,-0.244844131845214,"N",NA,"0","0",21
"16","AL","HH","A",249,0,-1.40226598141615,-0.978983322645183,-0.244844131845214,"N",-0.469485680915341,"0","0",37
"17","AL","HL","A",0,0,-1.57379652143952,-0.978983322645183,-0.244844131845214,"N",NA,"0","0",0
"18","JU","AL","D",2220,0,0.00582251922255308,-0.448456136576869,-0.244844131845214,"N",-0.410193733260536,"1","0",250
"19","AL","JU","E",3010,0,0.284167370807727,-0.38687708819394,-0.244844131845214,"N",0.273725652781727,"1","0",112
"20","AL","LN","A",2352,0,-0.224283994816535,0.519681044779432,-0.244844131845214,"N",0.0177123689391337,"1","0",59
"21","AL","LN","B",3229,0,0.458320234573233,-0.456222863399941,-0.244844131845214,"N",0.0576107628492102,"0","0",296
"22","LN","AL","C",4365,0,0.612570517517725,0.0993239661115524,-0.244844131845214,"N",-0.0974284883476709,"0","0",656
"23","AL","LN","D",1343,0,-0.683929209180952,-0.597857470584613,-0.244844131845214,"N",-0.0337300526752004,"0","0",290
"24","AL","LN","E",1960,0,-0.27095620316229,0.0993239661115524,-0.244844131845214,"N",0.0899546850935697,"0","0",164
"25","AL","LR","A",4816,0,0.959396271725599,-0.464906591958832,-0.214946597166146,"Y",-1.63239017054888,"0","0",645
"26","LR","AL","B",1821,0,-0.317536420060499,-0.0108680196008147,-0.244844131845214,"N",-1.48135173330597,"0","0",137
"27","AL","ML","A",6132,0,1.68009329250741,0.26362226602567,-0.244844131845214,"N",-0.593881016537177,"1","0",338
"28","AL","ML","B",3114,0,0.470325645644011,0.265037856807934,-0.244844131845214,"N",-0.586882367890576,"0","0",231
"29","ML","AL","C",6611,0,1.51602720187675,0.628078504589447,-0.244844131845214,"N",-0.754398409689855,"0","0",674
"30","ML","AL","D",4306,1,0.71129256294853,-0.0247977361913811,-0.221721937758885,"Y",-0.765201717674745,"0","0",834
"31","AL","ML","E",3787,1,0.84001665339005,0.173990927653161,-0.175477549586226,"Y",-0.753269595392016,"0","0",556
"32","MU","AL","A",3047,0,0.134605720705552,-0.205297842962225,-0.244844131845214,"N",-0.247335027100664,"0","0",200
"33","AL","MU","B",1584,1,-0.273039248783188,-0.392635857936613,-0.244844131845214,"N",-0.376245619913856,"0","0",377
"34","AL","MU","C",229,0,-1.06450568943492,-0.978983322645183,-0.244844131845214,"N",-0.501769769833531,"0","0",51
"35","AL","NP","B",1552,0,0.550049019266307,-0.90003582471835,-0.244844131845214,"N",0.510058871168981,"0","0",280
"36","NP","AL","C",6216,1,1.17552275245183,-0.0852380630961369,-0.166876841273791,"Y",0.426341345849533,"0","0",742
"37","AL","NP","D",4231,1,0.661109902435939,-0.112108835605455,-0.0347797541981694,"Y",0.186521355662402,"0","0",918
"38","AL","NP","E",3363,0,0.703062750239892,-0.271098916197894,-0.216774394046089,"Y",-0.20940686669328,"0","0",687
"39","OL","AL","E",629,0,-0.552430767163183,1.96838993328989,0.183687198554757,"Y",0.151691506700324,"0","0",90
"40","OM","AL","C",2389,0,0.713092463227577,-0.238614442565798,-0.244844131845214,"N",-0.44442600350332,"0","0",209
"41","OM","AL","D",3789,0,0.69508456686596,-0.0108680196008147,-0.244844131845214,"N",-0.317485592584826,"0","0",548
"42","AL","OM","E",3897,0,0.507729041697517,0.29488138966574,-0.14679035285539,"Y",-0.493416544029524,"0","0",590
"43","OT","AL","A",5906,1,1.40337281845763,1.44720807705747,-0.244844131845214,"N",-0.0405152790499485,"0","0",246
"44","AL","OT","B",3543,0,0.751369454768074,-0.277227785517784,-0.244844131845214,"N",-0.174858980795272,"0","0",504
"45","OT","AL","C",6225,0,1.69120700002201,0.0822516852374672,-0.244844131845214,"N",-0.429525654771847,"0","0",979
"46","OT","AL","D",4159,1,0.886850298059755,0.206287423709405,-0.218994386713848,"Y",-0.633384582254222,"0","0",746
"47","AL","OT","E",4085,0,0.733662540266169,0.213418720731041,-0.164827908326547,"Y",-1.02034705826068,"0","0",723
"48","OU","AL","A",8320,9,2.33957834450937,1.57460435825539,0.00267396447682287,"Y",-1.78794078079106,"0","0",857
"49","AL","OU","B",3250,0,0.599527619965588,-0.356972732918625,-0.244844131845214,"N",-1.80983977816914,"0","0",462
"50","AL","OU","C",6642,0,1.8516652392903,0.490676839125723,-0.192155853517349,"Y",-1.79155298654415,"0","0",1098
"51","AL","OU","D",2836,0,0.333688211380189,-0.111369181606274,-0.244844131845214,"N",-1.77900649320096,"0","0",586
"52","PO","AL","A",684,0,-0.42517986390844,-0.452666669799634,-0.244844131845214,"N",NA,"1","0",42
"53","PO","AL","B",3104,0,0.671260107731773,-0.900316776668268,-0.244844131845214,"N",-0.0523120384916501,"1","0",281
"54","AL","PO","C",5064,0,1.00375745428346,0.174737941421261,-0.244844131845214,"N",-0.262235375832136,"0","0",479
"55","AL","PO","D",3089,2,0.190225329865909,-0.327763372479495,-0.244844131845214,"N",-0.319771595747553,"0","0",611
"56","PO","AL","E",2657,0,0.26954596539123,-0.115495064070453,-0.244844131845214,"N",-0.805872341671304,"0","0",512
"57","QT","AL","A",7021,5,1.80379823714158,0.567242284419203,-0.19488581612501,"Y",-0.354120859676215,"0","0",386
"58","AL","QT","B",2925,0,0.343467391603336,-0.30142625231528,-0.244844131845214,"N",-0.667028183037132,"0","0",261
"59","QT","AL","C",5486,0,1.08157732153602,-0.0506767853427967,-0.244844131845214,"N",-0.686218026100391,"0","0",381
"60","AL","QT","D",4018,0,0.618264957367131,0.0400553030770509,-0.176461472738836,"Y",-1.00202695736133,"0","0",846
